<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:50:00	3382.09	3383.17	3378.41	3381.04	696	0	180
2025.01.02	02:00:00	3381.04	3387.91	3378.98	3386.33	863	0	180
2025.01.02	02:10:00	3386.33	3389.82	3375.03	3381.11	741	0	180
2025.01.02	02:20:00	3381.11	3391.25	3381.08	3386.44	705	0	180
2025.01.02	02:30:00	3386.44	3387.11	3379.49	3384.95	877	0	180
2025.01.02	02:40:00	3384.95	3391.34	3382.60	3387.91	647	0	180
2025.01.02	02:50:00	3387.91	3395.93	3387.91	3395.81	455	0	180
2025.01.02	03:00:00	3395.81	3399.57	3385.82	3386.50	824	0	180
2025.01.02	03:10:00	3386.50	3391.05	3384.41	3388.23	568	0	180
2025.01.02	03:20:00	3388.23	3394.37	3388.23	3391.27	480	0	180
2025.01.02	03:30:00	3391.27	3392.08	3384.51	3385.06	460	0	180
2025.01.02	03:40:00	3385.06	3389.67	3385.06	3388.57	359	0	180
2025.01.02	03:50:00	3388.57	3391.91	3386.20	3386.30	420	0	180
2025.01.02	04:00:00	3386.30	3391.00	3385.91	3389.05	507	0	180
2025.01.02	04:10:00	3389.05	3392.60	3386.46	3387.48	532	0	180
2025.01.02	04:20:00	3387.48	3389.06	3385.48	3387.19	361	0	180
2025.01.02	04:30:00	3387.20	3413.21	3386.87	3412.40	1206	0	180
2025.01.02	04:40:00	3412.35	3424.87	3410.23	3420.21	1393	0	180
2025.01.02	04:50:00	3420.21	3422.14	3411.43	3415.54	920	0	180
2025.01.02	05:00:00	3415.54	3416.97	3402.41	3405.85	976	0	180
2025.01.02	05:10:00	3405.85	3409.88	3402.23	3408.48	800	0	180
2025.01.02	05:20:00	3408.48	3414.23	3407.01	3413.45	596	0	180
2025.01.02	05:30:00	3413.45	3415.15	3411.52	3414.38	422	0	180
2025.01.02	05:40:00	3414.38	3415.67	3410.81	3412.16	326	0	180
2025.01.02	05:50:00	3412.16	3412.57	3403.28	3410.18	617	0	180
2025.01.02	06:00:00	3410.18	3413.51	3403.16	3405.43	796	0	180
2025.01.02	06:10:00	3405.43	3407.17	3400.03	3401.71	578	0	180
2025.01.02	06:20:00	3401.71	3407.25	3399.95	3400.58	531	0	180
2025.01.02	06:30:00	3400.58	3407.54	3399.48	3406.43	605	0	180
2025.01.02	06:40:00	3406.43	3409.91	3404.03	3404.08	519	0	180
2025.01.02	06:50:00	3404.08	3408.85	3404.08	3407.99	420	0	180
2025.01.02	07:00:00	3407.99	3412.77	3406.41	3411.21	533	0	180
2025.01.02	07:10:00	3411.21	3415.65	3410.51	3414.08	529	0	180
2025.01.02	07:20:00	3414.08	3418.63	3412.43	3416.20	505	0	180
2025.01.02	07:30:00	3416.20	3419.67	3414.94	3416.96	331	0	180
2025.01.02	07:40:00	3416.96	3416.97	3413.25	3414.21	271	0	180
2025.01.02	07:50:00	3414.21	3420.91	3411.90	3418.62	532	0	180
2025.01.02	08:00:00	3418.62	3425.32	3418.53	3424.43	629	0	180
2025.01.02	08:10:00	3424.43	3431.61	3421.45	3423.15	607	0	180
2025.01.02	08:20:00	3423.15	3425.69	3415.50	3416.86	677	0	180
2025.01.02	08:30:00	3416.89	3419.39	3412.46	3416.10	762	0	180
2025.01.02	08:40:00	3416.10	3426.32	3415.56	3425.32	734	0	180
2025.01.02	08:50:00	3425.32	3440.79	3424.69	3435.87	1041	0	180
2025.01.02	09:00:00	3435.87	3439.94	3431.93	3434.15	956	0	180
2025.01.02	09:10:00	3434.15	3444.08	3431.96	3440.89	1012	0	180
2025.01.02	09:20:00	3440.89	3443.88	3436.88	3443.51	913	0	180
2025.01.02	09:30:00	3443.51	3445.66	3436.73	3437.63	755	0	180
2025.01.02	09:40:00	3437.63	3441.99	3437.27	3439.54	490	0	180
2025.01.02	09:50:00	3439.66	3469.85	3439.66	3466.30	1742	0	180
2025.01.02	10:00:00	3466.30	3472.00	3456.30	3461.48	1447	0	180
2025.01.02	10:10:00	3461.48	3463.86	3455.64	3462.99	876	0	180
2025.01.02	10:20:00	3462.99	3474.84	3461.62	3468.95	1166	0	180
2025.01.02	10:30:00	3468.85	3473.06	3464.63	3469.77	1140	0	180
2025.01.02	10:40:00	3469.77	3470.59	3464.47	3465.41	581	0	180
2025.01.02	10:50:00	3465.41	3469.57	3461.64	3467.44	851	0	180
2025.01.02	11:00:00	3467.44	3470.56	3462.14	3466.84	860	0	180
2025.01.02	11:10:00	3466.84	3466.84	3459.59	3461.96	863	0	180
2025.01.02	11:20:00	3461.96	3464.31	3455.08	3463.70	1023	0	180
2025.01.02	11:30:00	3463.70	3470.85	3463.40	3469.04	920	0	180
2025.01.02	11:40:00	3469.05	3473.75	3466.75	3471.13	605	0	180
2025.01.02	11:50:00	3471.13	3472.22	3465.69	3469.37	420	0	180
2025.01.02	12:00:00	3469.42	3473.28	3469.42	3473.27	477	0	180
2025.01.02	12:10:00	3473.26	3480.08	3472.11	3477.47	1094	0	180
2025.01.02	12:20:00	3477.47	3477.50	3468.34	3470.75	803	0	180
2025.01.02	12:30:00	3470.75	3472.22	3464.25	3472.22	824	0	180
2025.01.02	12:40:00	3472.22	3479.52	3471.11	3477.38	815	0	180
2025.01.02	12:50:00	3477.38	3479.40	3473.36	3478.73	606	0	180
2025.01.02	13:00:00	3479.02	3483.52	3472.15	3477.10	932	0	180
2025.01.02	13:10:00	3477.10	3477.32	3457.96	3464.21	1105	0	180
2025.01.02	13:20:00	3464.21	3467.59	3461.81	3467.04	580	0	180
